,rank,album,artist,Previous week,weeks on chart
0,1,Made In Lagos,Wizkid,1,2
1,2,Somewhere Between Beauty & Magic,Joeboy,3,2
2,3,Twice As Tall,Burna Boy,2,2
3,4,LV N ATTN,EP - Lojay & Sarz,5,2
4,5,WONDALAND,Teni,11,2
5,6,Sex Over Love,Blaqbonez,4,2
6,7,A Better Time,Davido,8,2
7,8,APOLLO,Fireboy DML,7,2
8,9,High Tension,Bella Shmurda,9,2
9,10,Boo of the Booless,Chike,14,2
10,11,What Have We Done,EP - Omah Lay,15,2
11,12,Man Of Galilee,Judikay,6,2
12,13,Carpe Diem,Olamide,38,2
13,14,Cultural Praise,KCee & Okwesili Eze Group,13,2
14,15,Superstar,Wizkid,66,2
15,16,Boyfriend,CKay,18,2
16,17,Get Layd,EP - Omah Lay,16,2
17,18,PANDEMIC,EP - Ruger,41,2
18,19,Please Excuse Me for Being Antisocial,Roddy Ricch,10,2
19,20,SATISFIED,Mercy Chinwo,25,2
20,21,"Laughter, Tears & Goosebumps",Fireboy DML,17,2
21,22,SoulFly,Rod Wave,20,2
22,23,Wild West,Central Cee,24,2
23,24,A Good Time,Davido,21,2
24,25,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,52,2
25,26,TOO LATE TOO LIT (EP),KDDO,19,2
26,27,ROOTS,The Cavemen.,26,2
27,28,Happy Birthday Kodak,EP - Kodak Black,0,1
28,29,Rum & Boogie,Peruzzi,12,2
29,30,Off the Yak,Young M.A,28,2
30,31,OXYGENE,EP - Oxlade,31,2
31,32,SAVAGE MODE II,21 Savage & Metro Boomin,84,2
32,33,THE GOAT,Polo G,23,2
33,34,Slime Language 2,"Young Stoner Life, Young Thug & Gunna",0,1
34,35,Twelve A.M,EP - Crayon,57,2
35,36,CITIZEN OF THE WORLD,King Perryy,35,2
36,37,Culture,Migos,98,2
37,38,The Palmwine Express,Show Dem Camp,36,2
38,39,Hall of Fame,Polo G,80,2
39,40,...Shall We Begin...,Laycon,27,2
40,41,For Broken Ears,Tems,29,2
41,42,The Mayor of Lagos,Mayorkun,0,1
42,43,JORDI (Deluxe),Maroon 5,0,1
43,44,The Voice of the Heroes,Lil Baby & Lil Durk,40,2
44,45,UY Scuti,Olamide,0,1
45,46,Top Chef Gotit,Lil Gotit,45,2
46,47,African Giant,Burna Boy,43,2
47,48,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,34,2
48,49,Afro Pop Vol. 1,Adekunle Gold,39,2
49,50,Justice,Justin Bieber,42,2
50,51,KHALED KHALED,DJ Khaled,44,2
51,52,Shockwave,Marshmello,55,2
52,53,Before the Chaos-EP,P - Erigga,0,1
53,54,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,47,2
54,55,Ayo,Wizkid,0,1
55,56,Gratitude,Timaya,53,2
56,57,Outside,Burna Boy,58,2
57,58,Death Race For Love,Juice WRLD,62,2
58,59,Simisola,Simi,60,2
59,60,Legends Never Die,Juice WRLD,56,2
60,61,Ea$t N We$t,EP - Dremo & Jeriq,49,2
61,62,Culture III,Migos,0,1
62,63,Anthems & Glory (Live),Todd Dulaney,0,1
63,64,Haitian Boy Kodak,Kodak Black,22,2
64,65,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,50,2
65,66,King Of Love,Kizz Daniel,32,2
66,67,SOUR,Olivia Rodrigo,61,2
67,68,Big Conspiracy,J Hus,71,2
68,69,Old Church Basement,Elevation Worship & Maverick City Music,67,2
69,70,High Off Life,Future,69,2
70,71,THE ANGEL YOU DON'T KNOW,Amaarae,0,1
71,72,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,70,2
72,73,ASTROWORLD,Travis Scott,95,2
73,74,SoundMan Vol. 1,StarBoy,0,1
74,75,The Cross: My Gaze,Mercy Chinwo,75,2
75,76,Top,YoungBoy Never Broke Again,72,2
76,77,Hopeless Romantic,EP - Tomi Thomas,64,2
77,78,The Gospel of the Kingdom,Dunsin Oyekan,76,2
78,79,The Message,Minister GUC,83,2
79,80,Hollywood's Bleeding,Post Malone,73,2
80,81,LIGHT (The EP),MohBad,82,2
81,82,Yabasi,Basketmouth,33,2
82,83,Destined 2 Win,Lil Tjay,88,2
83,84,SoundGod Fest Reloaded,Runtown,59,2
84,85,Product of My Environment,Abra Cadabra,81,2
85,86,Alagbe,Qdot,65,2
86,87,While The World Was Burning,SAINt JHN,93,2
87,88,WUNNA,Gunna,54,2
88,89,Pray 4 Love,Rod Wave,94,2
89,90,The Human Condition,Jon Bellion,90,2
90,91,The Life Of Pi'erre 5,Pi\'erre Bourne,0,1
91,92,The Voice (Deluxe),Lil Durk,0,1
92,93,Sounds From The Other Side,Wizkid,91,2
93,94,Scam,EP - G4 Boyz,68,2
94,95,Ghetto Lenny's Love Songs,SAINt JHN,0,1
95,96,Arojinle,Adeyinka Alaseyori,0,1
96,97,PSYCHODRAMA,Dave,96,2
97,98,Yellow,Brymo,0,1
98,99,When It's All Said And Done... Take Time,GIVĒON,86,2
99,100,Zulu Man With Some Power,Nasty C,87,2
