rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,LV N ATTN,EP - Lojay & Sarz,2,1,1,1,1,3,3,1.714285714
2,The Voice of the Heroes,Lil Baby & Lil Durk,1,2,2,2,2,4,4,2.428571429
3,Made In Lagos,Wizkid,3,3,3,3,3,5,5,3.571428571
4,The Of,eason - J. Cole,4,4,4,4,4,6,6,4.571428571
5,PANDEMIC,EP - Ruger,5,5,5,5,5,7,7,5.571428571
6,Sex Over Love,Blaqbonez,6,6,6,6,6,8,9,6.714285714
7,Twice As Tall,Burna Boy,7,7,7,7,7,9,10,7.714285714
8,Roots,The Cavemen.,8,8,8,8,9,12,15,9.714285714
9,Justice (Triple Chucks Deluxe / Deluxe Video Version),Justin Bieber,10,9,10,9,10,11,12,10.14285714
10,Somewhere Between Beauty & Magic,Joeboy,9,10,9,10,11,14,14,11
11,Old Church Basement,Elevation Worship & Maverick City Music,13,11,11,11,13,13,13,12.14285714
12,A Better Time,Davido,16,15,14,12,14,17,19,15.28571429
13,KHALED KHALED,DJ Khaled,11,12,13,13,16,20,23,15.42857143
14,...Shall We Begin...,Laycon,15,16,12,17,18,19,17,16.28571429
15,Boo of the Booless,Chike,20,20,18,14,12,16,18,16.85714286
16,WONDALAND,Teni,17,19,19,16,15,15,20,17.28571429
17,SOUR,Olivia Rodrigo,19,17,15,15,17,21,22,18
18,Man of Galilee,Judikay,14,14,16,21,22,23,24,19.14285714
19,Cultural Praise,KCee & Okwesili Eze Group,12,18,20,22,27,22,21,20.28571429
20,Hall of Fame,Polo G,29,31,31,28,19,2,2,20.28571429
21,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,24,21,22,18,21,27,25,22.57142857
22,Haitian Boy Kodak,Kodak Black,23,23,21,20,26,24,27,23.42857143
23,TOO LATE TOO LIT (EP),KDDO,22,24,23,23,25,28,32,25.28571429
24,African Giant,Burna Boy,25,28,26,27,24,32,30,27.42857143
25,Hopeless Romantic,EP - Tomi Thomas,18,13,17,31,42,36,37,27.71428571
26,For Broken Ears,Tems,27,26,25,29,32,34,33,29.42857143
27,APOLLO,Fireboy DML,41,38,29,19,20,29,31,29.57142857
28,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",26,25,24,24,29,41,40,29.85714286
29,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,30,27,27,30,31,35,35,30.71428571
30,Big Conspiracy,J Hus,33,36,30,32,30,31,36,32.57142857
31,After Hours (Deluxe Video Album),The Weeknd,47,41,33,26,28,30,29,33.42857143
32,Rum & Boogie,Peruzzi,28,29,36,33,33,42,43,34.85714286
33,The Voice (Deluxe),Lil Durk,32,30,28,37,38,43,38,35.14285714
34,SoulFly,Rod Wave,31,35,35,36,35,37,39,35.42857143
35,Beam Me Up Scotty,Nicki Minaj,34,32,37,34,34,39,45,36.42857143
36,Yabasi,Basketmouth,38,39,34,39,36,44,42,38.85714286
37,Please Excuse Me For Being Antisocial,Roddy Ricch,36,34,40,38,37,47,49,40.14285714
38,The Gospel of the Kingdom,Dunsin Oyekan,37,37,41,42,44,40,41,40.28571429
39,High Tension,Bella Shmurda,42,48,43,43,39,38,34,41
40,Carpe Diem,Olamide,35,33,38,40,41,51,52,41.42857143
41,Before the Chaos - ep,P - Erigga,40,40,39,35,45,45,47,41.57142857
42,Off the Yak,Young M.A,21,22,32,46,53,62,68,43.42857143
43,Boyfriend,CKay,44,43,50,41,43,50,44,45
44,SoundMan Vol. 1 (feat. Wizkid),StarBoy,43,42,42,45,48,56,48,46.28571429
45,What Have We Done,EP - Omah Lay,46,46,49,47,40,46,51,46.42857143
46,ASTROWORLD,Travis Scott,51,51,44,44,46,54,53,49
47,Wild West,Central Cee,49,47,46,51,50,53,56,50.28571429
48,Get Layd,EP - Omah Lay,50,53,47,49,52,58,55,52
49,Ea$t N We$t,EP - Dremo & Jeriq,48,45,56,61,56,55,57,54
50,Legends Never Die (Video Version),Juice WRLD,57,52,52,53,58,59,50,54.42857143
51,"Laughter, Tears & Goosebumps",Fireboy DML,59,59,53,55,55,52,54,55.28571429
142,Hollywood's Bleeding,Post Malone,88,78,62,54,49,33,26,55.71428571
52,THE GOAT,Polo G,58,58,55,50,54,57,59,55.85714286
53,My Turn (Deluxe),Lil Baby,55,55,51,56,57,60,61,56.42857143
54,Ghetto Lenny's Love Songs,SAINt JHN,61,62,57,64,67,65,70,63.71428571
55,Be Right Back,Jorja Smith,45,57,58,65,74,75,76,64.28571429
56,Meet the Woo 2 (Deluxe),Pop Smoke,66,69,59,60,62,73,65,64.85714286
57,Scam,EP - G4 Boyz,39,50,68,70,77,72,84,65.71428571
58,WUNNA (Deluxe),Gunna,68,60,60,79,60,64,72,66.14285714
59,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,54,54,66,75,85,70,62,66.57142857
60,SATISFIED,Mercy Chinwo,53,65,74,73,81,68,63,68.14285714
