rank,album,artist
1,Made In Lagos,Wizkid
2,Twice As Tall,Burna Boy
3,Somewhere Between Beauty & Magic,Joeboy
4,Sex Over Love,Blaqbonez
5,LV N ATTN,EP - Lojay & Sarz
6,Man Of Galilee,Judikay
7,APOLLO,Fireboy DML
8,A Better Time,Davido
9,High Tension,Bella Shmurda
10,Please Excuse Me for Being Antisocial,Roddy Ricch
11,WONDALAND,Teni
12,Rum & Boogie,Peruzzi
13,Cultural Praise,KCee & Okwesili Eze Group
14,Boo of the Booless,Chike
15,What Have We Done,EP - Omah Lay
16,Get Layd,EP - Omah Lay
17,"Laughter, Tears & Goosebumps",Fireboy DML
18,Boyfriend,CKay
19,TOO LATE TOO LIT (EP),KDDO
20,SoulFly,Rod Wave
21,A Good Time,Davido
22,Haitian Boy Kodak,Kodak Black
23,THE GOAT,Polo G
24,Wild West,Central Cee
25,SATISFIED,Mercy Chinwo
26,ROOTS,The Cavemen.
27,...Shall We Begin...,Laycon
28,Off the Yak,Young M.A
29,For Broken Ears,Tems
30,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
31,OXYGENE,EP - Oxlade
32,King Of Love,Kizz Daniel
33,Yabasi,Basketmouth
34,I LOVE GIRLS WITH TROBUL,Sarz & WurlD
35,CITIZEN OF THE WORLD,King Perryy
36,The Palmwine Express,Show Dem Camp
37,JACKBOYS,JACKBOYS & Travis Scott
38,Carpe Diem,Olamide
39,Afro Pop Vol. 1,Adekunle Gold
40,The Voice of the Heroes,Lil Baby & Lil Durk
41,PANDEMIC,EP - Ruger
42,Justice,Justin Bieber
43,African Giant,Burna Boy
44,KHALED KHALED,DJ Khaled
45,Top Chef Gotit,Lil Gotit
46,Shiesty Season,Spring Deluxe - Pooh Shiesty
47,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD
48,Before the Chaos - EP,P - Erigga
49,Ea$t N We$t,EP - Dremo & Jeriq
50,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke
51,ZaZa Vibes,L.A.X
52,Just Cause Y'all Waited 2 (Deluxe),Lil Durk
53,Gratitude,Timaya
54,WUNNA,Gunna
55,Shockwave,Marshmello
56,Legends Never Die,Juice WRLD
57,Twelve A.M,EP - Crayon
58,Outside,Burna Boy
59,SoundGod Fest Reloaded,Runtown
60,Simisola,Simi
61,SOUR,Olivia Rodrigo
62,Death Race For Love,Juice WRLD
63,Beam Me Up Scotty,Nicki Minaj
64,Hopeless Romantic,EP - Tomi Thomas
65,Alagbe,Qdot
66,Superstar,Wizkid
67,Old Church Basement,Elevation Worship & Maverick City Music
68,Scam,EP - G4 Boyz
69,High Off Life,Future
70,Hallelujah Again (Revelation 19:3),Nathaniel Bassey
71,Big Conspiracy,J Hus
72,Top,YoungBoy Never Broke Again
73,Hollywood's Bleeding,Post Malone
74,Be Right Back,Jorja Smith
75,The Cross: My Gaze,Mercy Chinwo
76,The Gospel of the Kingdom,Dunsin Oyekan
77,Razor,Cheque
78,I'll Say It For You,Dax
79,Mixed Emotions -EP,EP - Abra Cadabra
80,Hall of Fame,Polo G
81,Product of My Environment,Abra Cadabra
82,LIGHT (The EP),MohBad
83,The Message,Minister GUC
84,SAVAGE MODE II,21 Savage & Metro Boomin
85,East Atlanta Love Letter,6LACK
86,When It's All Said And Done... Take Time,GIVĒON
87,Zulu Man With Some Power,Nasty C
88,Destined 2 Win,Lil Tjay
89,Bad Commando,Rema
90,The Human Condition,Jon Bellion
91,Sounds From The Other Side,Wizkid
92,Ayra Starr,EP - Ayra Starr
93,While The World Was Burning,SAINt JHN
94,Pray 4 Love,Rod Wave
95,ASTROWORLD,Travis Scott
96,PSYCHODRAMA,Dave
97,beerbongs & bentleys,Post Malone
98,Culture,Migos
99,Exodus,DMX
100,Mirage,Mannywellz
