Position,song,artist
1,All The Above   ,Show Dem Camp
2,Euphoria   ,PsychoYP
3,No Fugazy   ,Sarkodie
4,No Fear (feat. Vic Mensa & Moliy) ,M.anifest
5,Align (feat. LadiPoe) ,Show Dem Camp featuring LadiPoe
6,Crown Of Clay (feat. M.I Abaga & Pheelz) ,Vector
7,KOLO (feat. Oxlade) ,Ice Prince 
8,Balance (feat. Joey B & Nshonamuzik) ,Pappy Kojo featuring Joey B and Nshonamuzik
9,Tycoon (feat. Reminisce & Mojo) ,Show Dem Camp featuring Reminisce and Mojo
10,Every Weekend   ,DJ Tunez & J. Anthoni
11,Guala (feat. Maison 2500 & New World Ray) ,Teezee
12,I Be (feat. Manu Crooks) ,Pappy Kojo featuring Manu Crooks
13,Fire In The Ghetto (feat. Troublle) ,Kwesta featuring Troublle
14,Sore (Remix)   ,"Yaw Tog, Stormzy & Kwesi Arthur"
15,Monster   ,Vnero feat. Tonez
16,Rappers (feat. Dremo) ,Dreylo feat. Dremo
17,Uomo (feat. Sarkodie & KiddBlack) ,Pappy Kojo featuring Sarkodie and KiddBlack
18,Odeshi   ,Kwvdwo Pvnch
19,Squander (feat. Niniola) ,Falz
20,Toxic (feat. Adekunle Gold) ,Reminisce
21,Attention (feat. Oxlade & Merry-Lynn) ,PsychoYP
22,African Knockout   ,AFRICAN KNOCKOUT x M.I Abaga
23,Oulalalah   ,Samba Peuzzi
24,Action Figure   ,Gemini Major and AKA
25,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC) ",Jay Bahd
26,Could Have Been Worse   ,CDQ
27,Intense   ,"Blackway, Busta Rhymes"
28,Roll Call   ,$pacely
29,Lekki Epe (feat. Vector) ,Maxino feat. Vector
30,Where You Dey   ,"Kokopee, Erigga"
31,EVERYWHERE (feat. Buju) ,Straffitti featuring Buju
32,Don't Worry (feat. Emtee) ,Just G featuring Emtee
33,Flex and Ball (feat. Azanti & Lyta) ,PsychoYP
34,On The Streets (feat. Kwesi Arthur) ,Kweku Smoke featuring Kwesi Arthur
35,Three   ,Kweku Lee
36,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz) ",Pappy Kojo 
37,Bourdillon Love (feat. Three) ,Studio Magic x Fresh L
38,Drive By  (Fivio Freestyle)   ,So$aVelli
39,Dawgi (feat. Sarkodie) ,Amerado
40,Go Down   ,Bucky Raw
41,Molade (feat. Dwillsharmony & Ycee) ,Beatsbykarma
42,We Move (Freestyle)   ,Stonebwoy
43,Like Dat (feat. PsychoYP) ,Skillz 8Figure
44,Use to this   ,Marvy feat. Psycho YP
45,TikTok Girl (feat. Kofi Mole) ,Kwasi Yesu
46,Justice   ,KayMad
47,All I Need   ,Yung6ix
48,1. Confusion   ,M.anifest
49,Heartbreaker (feat. Nasty C) ,Blaqbonez
50,"Zombie (feat. PsychoYP, Laycon & A-Q) ",Blaqbonez
51,Run The Cheque   ,D-Truce
52,"Kubo (feat. K.O, Focalistic & Bassie) ","Kwesta featuring K.O, Focalistic and Bassie"
53,Snakes In The Crib (feat. Tshego AMG) ,Kwesta featuring Tshego AMG
54,Foreign (feat. Trigga the 24) ,ameen
55,Text My Ex (feat. Bryan The Mensah) ,D-Truce
56,BROWN (feat. Una Rams) ,King Lutendo featuring Una Rams
57,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW) ",Stringz Beatz
58,CHANGE   ,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
59,THOHO KHULU PART 3   ,King Lutendo
60,HEATHROW   ,Droxx & Mo'gunz
61,waterbody   ,mwami
62,Mehia Sika (feat. Dead Peepol) ,ZACK GH
63,Who Be This Guy (feat. FALZ & M.I ABAGA) ,Kheengz
64,Cassette (feat. King Promise) ,Nanky
65,4 You   ,Yung D3mz
66,Goboyi (feat. Oladips & Tcash_omowest) ,"Odumodublvck, Reeplay"
67,Check Yourself   ,Kaptain
68,OPS   ,KashCPT
69,On the Move (feat. Dead Peepol) ,RichMiller
70,Omo X 100 (feat. Olamide) ,Reminisce
71,Sinner (feat. Kwaku DMC & LP2Loose) ,"Smallgod, Headie One, O'Kenneth"
72,My Crew (feat. Lil5ive) ,Kiiwii
73,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp featuring Tomi Thomas
74,First Sermon   ,Black Sherif
75,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd
76,KSM   ,Naza
77,Wreckless Tactics   ,TRiPPY TRiPPY
78,Dorime (feat. Musette & Vector) ,Samklef
79,Ballance (feat. Made millz) ,Durella
80,Don’t Truss   ,PatricKxxLee
81,"Keja (feat. Munyax, Nare & Boutross) ",Juicee Mann
82,Rise Up   ,2Baba & Falz
83,Mercy   ,Falz
84,If Its On (feat. Boutross) ,Silverstone Barz
85,Wonder (feat. Patoranking) ,Dremo
86,three5zero   ,DETO BLACK
87,On Me (feat. Dwillsharmony & PsychoYP) ,BEATSBYKARMA
88,"CITY GIRL (feat. Jinmi Abduls, Ycee, KO-C & Ladipoe) ","Dj Michel featuring Jinmi Abduls, Ycee, KO-C and Ladipoe"
89,BACK ON MY FEET (feat. PayBac iBoro) ,Samvsthekids
90,+234 (Daily Paper)   ,PsychoYP
91,Ghetto Vigilante   ,"Uche B, Kwesi Arthur"
92,Hear Word (feat. Kaptain & Brenny Jones) ,John NetworQ
