Position,album,artist
1,UY Scuti,Olamide
2,A True Champion,Rexxie
3,Somewhere Between Beauty & Magic,Joeboy
4,WONDALAND,Teni
5,APOLLO,Fireboy DML
6,Made in Lagos,Wizkid
7,High Tension EP,Bella Shmurda
8,Twice As Tall,Burna Boy
9,Rema Compilation,Rema
10,Carpe Diem,Olamide
11,What Have We Done,Omah Lay
12,A Better Time,Davido
13,Twice As Tall,Burna Boy
14,Just Cause Y'all Waited 2 (Deluxe),Lil Durk
15,Just Cause Y’all Waited 2,Lil Durk
16,THE GOAT,Polo G
17,SoulFly,Rod Wave
18,Get Layd,Omah Lay
19,Please Excuse Me for Being Antisocial,Roddy Ricch
20,"Laughter, Tears & Goosebumps",Fireboy DML
21,Rum & Boogie,Peruzzi
22,Man Of Galilee,Judikay
23,Chrome Eccentric Ep,Zinoleesky
24,Sex Over Love,Blaqbonez
25,Gratitude,Timaya
26,LIGHT (The EP),MohBad
27,Simisola,Simi
28,Afro Pop Vol. 1,Adekunle Gold
29,Off The Yak,Young M.A
30,Boo of the Booless,Chiké
31,I'll Say It For You,Dax
32,High Off Life,Future
33,LV N ATTN,Lojay & Sarz
34,NEW ERA,Kiss Daniel
35,TOP PRIZE,ALKALINE
36,Welcome to O'Block,King Von
37,Boyfriend,CKay
38,Twelve A.M,Crayon
39,Love & Light,Joeboy
40,Space and Time,Justine Skye
41,Cultural Praise,Kcee & Okwesili Eze Group
42,Razor,Cheque
43,Superstar,Wizkid
44,Hot Pink,Doja Cat
45,King Of Love,Kizz Daniel
46,...Shall We Begin...,Laycon
47,For Broken Ears,Tems
48,Shottaz 4Eva,MO3
49,...Shall We Begin...,Laycon
50,TOP PRIZE,ALKALINE
51,Simisola (Deluxe),Simi
52,Just Cause Y'all Waited,Lil Durk
53,Soundgod Fest Vol.1,Runtown
54,A Good Time,Davido
55,Three,Patoranking
56,Ghetto Gospel,Rod Wave
57,Bad Commando,Rema
58,TattleTales,6ix9ine
59,The Cross: My Gaze,Mercy Chinwo
60,Wild West,Central Cee
61,Love Songs 4 The Streets 2,Lil Durk
62,Haitian Boy Kodak,Kodak Black
63,OXYGENE,Oxlade
64,PTSD,Rod Wave
65,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
66,Hakuna Matata,Dotman
67,TIME,Yaw Tog
68,Know You,Ladipoe
69,Under The Sun,Symphani Soto
70,Happy Birthday Kodak,Kodak Black
71,Pray 4 Love,Rod Wave
72,Shottaz 4Eva,MO3
73,Shiesty Season,Pooh Shiesty
74,My Letter To You Riddim,Various Artists
75,Lil Durk Presents: Loyal Bros,Only The Family
76,Hoodie SZN,A Boogie Wit Da Hoodie
77,Twice As Tall,Burna Boy
78,SATISFIED,Mercy Chinwo
79,Good News,Megan Thee Stallion
80,Alagbe,Qdot
81,Shiesty Season - Spring Deluxe,Pooh Shiesty
82,The Message,Minister GUC
83,SoundGod Fest Reloaded,Runtown
84,Pluto x Baby Pluto,Future & Lil Uzi Vert
85,SAVAGE MODE II,21 Savage & Metro Boomin
86,Deal with It,Phyno
87,Herstory in the Making,Young M.A
88,Billionaire,Teni
89,7,Lil Nas X
90,Chulo Vibes,Timaya
91,LOL (Lord of Lamba),Naira Marley
92,The Prince I Became,Ric Hassani
93,So Much Fun,Young Thug
94,Levon James,King Von
95,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again
96,PINK PLANET,Pink Sweat$
97,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
98,Trap Symphony EP,Roddy Ricch
99,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
100,Pray 4 Love (Deluxe),Rod Wave
101,What Have We Done,Omah Lay
102,Ice Daddy,Gucci Mane
103,Something Else,Mr Eazi
104,Realms,Wande Coal
105,I Love Girls With Trobul,Sarz X WurlD
106,S.C.A.M,G4 Boyz
107,Rema Freestyle EP,Rema
108,Too Late Too Lit,KDDO
109,Big Grim Reaper,Big Scarr
110,Homesick,Trevor Daniel
111,Signed To The Streets 3,Lil Durk
112,The Beauty of Becoming,Rotimi
113,Trap Symphony EP,Roddy Ricch
114,L.O.V.E.,Luh Kel
115,What Have We Done,Omah Lay
116,Ice Daddy,Gucci Mane
117,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
118,S.C.A.M,G4 Boyz
119,ZaZa Vibes,L.A.X
120,Taste EP,Nandy
121,23 Is Back,JayDaYoungan
