Position,song,artist
1,All The Above   ,Show Dem Camp
2,Euphoria   ,PsychoYP
3,No Fugazy   ,Sarkodie
4,No Fear (feat. Vic Mensa & Moliy) ,M.anifest
5,Align (feat. LadiPoe) ,Show Dem Camp featuring LadiPoe
6,Crown Of Clay (feat. M.I Abaga & Pheelz) ,Vector
7,Balance (feat. Joey B & Nshonamuzik) ,Pappy Kojo featuring Joey B and Nshonamuzik
8,Tycoon (feat. Reminisce & Mojo) ,Show Dem Camp featuring Reminisce and Mojo
9,Every Weekend   ,DJ Tunez & J. Anthoni
10,Guala (feat. Maison 2500 & New World Ray) ,Teezee
11,I Be (feat. Manu Crooks) ,Pappy Kojo featuring Manu Crooks
12,Fire In The Ghetto (feat. Troublle) ,Kwesta featuring Troublle
13,Sore (Remix)   ,"Yaw Tog, Stormzy & Kwesi Arthur"
14,Monster   ,Vnero feat. Tonez
15,Rappers (feat. Dremo) ,Dreylo feat. Dremo
16,Uomo (feat. Sarkodie & KiddBlack) ,Pappy Kojo featuring Sarkodie and KiddBlack
17,Odeshi   ,Kwvdwo Pvnch
18,Squander (feat. Niniola) ,Falz
19,Toxic (feat. Adekunle Gold) ,Reminisce
20,Attention (feat. Oxlade & Merry-Lynn) ,PsychoYP
21,African Knockout   ,AFRICAN KNOCKOUT x M.I Abaga
22,Oulalalah   ,Samba Peuzzi
23,Action Figure   ,Gemini Major and AKA
24,"Condemn (feat. City Boy, O'Kenneth, reggie & Kwaku DMC) ",Jay Bahd
25,Could Have Been Worse   ,CDQ
26,Intense   ,"Blackway, Busta Rhymes"
27,Roll Call   ,$pacely
28,Lekki Epe (feat. Vector) ,Maxino feat. Vector
29,Where You Dey   ,"Kokopee, Erigga"
30,EVERYWHERE (feat. Buju) ,Straffitti featuring Buju
31,Don't Worry (feat. Emtee) ,Just G featuring Emtee
32,Flex and Ball (feat. Azanti & Lyta) ,PsychoYP
33,On The Streets (feat. Kwesi Arthur) ,Kweku Smoke featuring Kwesi Arthur
34,Three   ,Kweku Lee
35,"1 Sima (feat. Kojo Trip, The Township, Hyndu, Nemsis Loso & Yaw Lucaz) ",Pappy Kojo 
36,Bourdillon Love (feat. Three) ,Studio Magic x Fresh L
37,Drive By  (Fivio Freestyle)   ,So$aVelli
38,Dawgi (feat. Sarkodie) ,Amerado
39,Go Down   ,Bucky Raw
40,Molade (feat. Dwillsharmony & Ycee) ,Beatsbykarma
41,We Move (Freestyle)   ,Stonebwoy
42,Like Dat (feat. PsychoYP) ,Skillz 8Figure
43,Use to this   ,Marvy feat. Psycho YP
44,TikTok Girl (feat. Kofi Mole) ,Kwasi Yesu
45,Justice   ,KayMad
46,All I Need   ,Yung6ix
47,1. Confusion   ,M.anifest
48,Run The Cheque   ,D-Truce
49,"Kubo (feat. K.O, Focalistic & Bassie) ","Kwesta featuring K.O, Focalistic and Bassie"
50,Snakes In The Crib (feat. Tshego AMG) ,Kwesta featuring Tshego AMG
51,Foreign (feat. Trigga the 24) ,ameen
52,Text My Ex (feat. Bryan The Mensah) ,D-Truce
53,BROWN (feat. Una Rams) ,King Lutendo featuring Una Rams
54,"Ghost (feat. Miles Caliph, Kadens & Tobii WTW) ",Stringz Beatz
55,CHANGE   ,"Lord Edward and Boy Nino feat. Murphy Cubic, Tyrone Jones"
56,THOHO KHULU PART 3   ,King Lutendo
57,HEATHROW   ,Droxx & Mo'gunz
58,waterbody   ,mwami
59,Mehia Sika (feat. Dead Peepol) ,ZACK GH
60,Who Be This Guy (feat. FALZ & M.I ABAGA) ,Kheengz
61,4 You   ,Yung D3mz
62,Goboyi (feat. Oladips & Tcash_omowest) ,"Odumodublvck, Reeplay"
63,Check Yourself   ,Kaptain
64,OPS   ,KashCPT
65,On the Move (feat. Dead Peepol) ,RichMiller
66,Omo X 100 (feat. Olamide) ,Reminisce
67,My Crew (feat. Lil5ive) ,Kiiwii
68,Rise Of The Underdogs 2 (feat. Tomi Thomas) ,Show Dem Camp featuring Tomi Thomas
69,First Sermon   ,Black Sherif
70,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd
71,Wreckless Tactics   ,TRiPPY TRiPPY
72,Dorime (feat. Musette & Vector) ,Samklef
73,Ballance (feat. Made millz) ,Durella
74,Don’t Truss   ,PatricKxxLee
75,"Keja (feat. Munyax, Nare & Boutross) ",Juicee Mann
76,Rise Up   ,2Baba & Falz
77,Mercy   ,Falz
78,If Its On (feat. Boutross) ,Silverstone Barz
79,Wonder (feat. Patoranking) ,Dremo
80,three5zero   ,DETO BLACK
81,On Me (feat. Dwillsharmony & PsychoYP) ,BEATSBYKARMA
82,Dj Michel   City  Girl Ft Jinmi Abduls X Ycee X Ko C   Ladipoe   ,Dj Michel
83,BACK ON MY FEET (feat. PayBac iBoro) ,Samvsthekids
84,+234 (Daily Paper)   ,PsychoYP
85,Ghetto Vigilante   ,"Uche B, Kwesi Arthur"
