Position,song,artist
1,Understand,Omah Lay
2,Sinner,Adekunle Gold and Lucky Daye
3,Feeling,LADIPOE
4,Party Next Door,"Dangbana Republik, Bella Shmurda"
5,Naira Marley,Zinoleesky
6,Rock,Olamide
7,Bia,Phyno
8,Outside,Buju
9,World,"Dangbana Republik, Bella Shmurda"
10,Confident,Savage X Buju
11,40 BTC,Rexxie featuring Seyi Vibez
12,History,Cheque & Fireboy DML
13,COMING,Naira Marley
14,Yaba Buluku [Remix],Dj Tarico & Burna Boy
15,Focus,Joeboy
16,Need For Speed,Olamide
17,CELEBRATE ME,Patoranking
18,Jailer,Olamide
19,Bling,Blaqbonez
20,It Is What It Is,Adekunle Gold
21,World,"Dangbana Republik, Bella Shmurda"
22,Ayewada,Barry Jhay
23,INJURE ME,Teni
24,Julie,Olamide
25,Essence,Wizkid
26,FOR YOU,Teni featuring Davido
27,Are You Sure,Lyta
28,Running (To You),ChikÃ©
29,Olofofo,Victor AD
30,Money,"Terri, Bella Shmurda, Mohbad"
31,Kilometre,Burna Boy
32,Omo X 100,Reminisce
33,PonPon,Olamide
34,Somebody,Olamide
35,Ke Star Remix,Focalistic & Davido
36,Baba Nla,Dr Dolor
37,Soundgasm,Rema
38,Too Correct,Crayon
39,90â€™S,Seyi Vibez
40,Korope,Lil Kesh
41,Rush,Dangbana Republik X Bella Shmurda
42,Pronto,Ajebo Hustlers & Omah Lay
43,Hallelu,Masterkraft
44,Somebody Baby,Peruzzi & Davido
45,Triumphant,Olamide
46,Kilofeshe,Zinoleesky
47,Cup of Tea,Olamide
48,Figure 8,Kida Kudz and Gemitaiz
49,Felony,CKay
50,World (Alternate Cut),Bella Shmurda
51,Ginger,Wizkid
52,Wandsworth to Bullingdon,Fredo
53,Godly,Omah Lay
54,Bad Type,Seyi Vibez
55,All,Rexxie featuring Davido
56,Infinity,Olamide
57,Cho Cho,Zlatan
58,KPK (Ko Por Ke),Rexxie and MohBad
59,Catalyst,Seyi Vibez
60,Cash App,Bella Shmurda
61,PAMI,DJ Tunez
62,Ginger Me (Intro),Bella Shmurda
63,Sho Mo Mi,Bella Shmurda
64,Koleyewon,Naira Marley
65,Late At Night,Roddy Ricch
66,23,Burna Boy
67,Lonely,Joeboy
68,PEPE,L.A.X & Davido
69,Ori,Barry Jhay
70,Champion,Fireboy DML & D Smoke
71,Hello áº¸,"Reminisce, Westsyde"
72,Way Too Big,Burna Boy
73,Body (Remix),Tion Wayne x Russ Millions
74,The Best,Davido
75,Bad Influence,Omah Lay
76,Omnipotent,Bella Shmurda
77,Don Dada,Timaya
78,Boi Boi,Rexxie featuring Teni
79,High Way,DJ Kaywise & Phyno
80,Picture Freestyle,Seyi Vibez
81,Ma Pariwo,Zinoleesky
82,Liquor,Bella Shmurda
83,Lenu (Remix),Buju
84,Vibration,Sarkodie and Vic Mensa
85,Early Momo,Vector
86,Vision 2020,Bella Shmurda
87,Survive,Jaido P
88,Door,Joeboy
89,Pay day,Seyi Vibez
90,So Lovely,Buju
91,Upgrade,Bella Shmurda
92,Frenemies,Rexxie and Oxlade
93,Only You,Bella Shmurda
94,Sorry,MohBad
95,Can't Relate,Omah Lay
96,No Stress,WizKid
97,Colorado,Zugo
98,KOLO,Ice Prince
99,Chi Chi,Naira Marley
100,Muje,Barry Jhay
101,God Sent,Seyi Vibez
102,Amope,Bella Shmurda
103,Southy Love,Peruzzi
104,Fall for Me,Laycon
105,Holy Ground,Davido
106,Real Life,Burna Boy
107,Smile,Wizkid
108,You,Omah Lay
109,Spiritual,Buju
110,HUSTLE,BBANKS
111,Tonongo,"Lojay, Sarz"
112,My Bebe,Omah Lay
113,Damages,Tems
114,FEM,Davido
115,Dangbana Orisa,Bella Shmurda
116,Omo Ologo,Lil Frosh
117,Door,Joeboy
118,Music Messiah,DJ Neptune
119,Loading,Olamide
120,Selense,The Cavemen
121,Airplane Mode,Fireboy DML
122,Ginger Me,Rema
123,Kogi,Jumabee
124,If You No Love,ChikÃ©
125,Happiness,Davolee
126,Currently,Kizz Daniel
127,Your Body,Mayorkun
128,Celebration,Joeboy
129,MOSLADO,Teni
130,Legends,Juice WRLD
131,If E Happen For Lagos,Runtown
132,Rest On Kashy,Anonymous Music
133,Wonderful,Burna Boy
134,I Will Survive,Diamond Jimma
135,Ponmo,Mohbad
136,This Your Body,Skales and Davido
137,Die Young,Roddy Ricch
138,Adura,Mohbad
139,At My Worst,Pink Sweat$
140,Nevada,YoungBoy Never Broke Again
141,Egbon,Masterkraft
142,Ye Ye Ye,Omah Lay
143,Lo Lo,Omah Lay
144,Do not Disturb,Omah Lay
145,Obsessed,Kvngs
146,The Box,Roddy Ricch
147,Damn,Omah Lay
148,Cultural Praise,Kcee & Okwesili Eze Group
149,Level Up (Twice As Tall),Burna Boy
150,Symphony,Seyi Vibez
151,Confession,Omah Lay
152,KAMBA,Terry Apala
153,Zoom,Cheque
154,Green Light,Olamide
155,Project Dreams,Roddy Ricch
156,JO,Teni
157,Sapa,Bravo AZ feat. Idowest
158,Activate,Stonebwoy
159,Abule,Patoranking
160,LV N ATTN,"Lojay, Sarz"
161,Something Different,Adekunle Gold
162,Back2Back,Rexxie featuring Bella Shmurda
163,Life Is Good,Future
164,Hello Brother,Omah Lay
165,Go Away,Fireboy DML
166,HELL (interlude),corizo
167,Ball Till We Fall,Kida Kudz featuring Bella Shmurda
168,Know You,Ladipoe
169,Sere Remix,"Spinall, Fireboy DML and 6LACK"
170,Woman,Rema
171,Mandeman,Small Doctor
172,Flex,Kizz Daniel
173,Damn,Omah Lay
174,DUPÄ– (Remix),Azekel
175,Tekiller,CDQ
176,Happy Birthday,Simi feat. Adekunle Gold and Deja
177,AG Baby,Adekunle Gold
178,So Crazy,Davido
179,Marlians Anthem,MohBad
180,Prayer Request,Victor AD
181,Hold Me Tight,Kcee
182,Baba Nla,Candy Bleakz
183,Spell,Fireboy DML & Wande Coal
184,Be Something,Polo G
185,If You No Love,ChikÃ©
186,Rich And Blind,Juice WRLD
187,Bounce,Rema
188,What Type Of Dance,DJ Kaywise
189,Omalicha,kolaboy
190,ELI,Fireboy DML
191,Born to Win,Timaya
192,Afar,Fireboy DML & Olamide
193,High Fashion,Roddy Ricch
194,Hood Scars 2,J.I the Prince of N.Y & Lil Tjay
195,Jackpot,Crayon
196,Commitment Issues,Central Cee
197,Maserati (Remix),Olakira
198,Like I Do,Fireboy DML
199,Beamer (Bad Boys),Rema
200,Friday Feeling,Fireboy DML
