Position,song,artist,album
1,Feeling,"LADIPOE, Buju",Feeling
2,Bounce,Ruger,PANDEMIC
3,Rock,Olamide,Rock
4,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
5,Outside,Buju,Outside
6,Coming,"Naira Marley, Busiswa",Coming
7,Dimension (feat. Skepta & Rema),"Jae5, Skepta, Rema",Dimension (feat. Skepta & Rema)
8,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
9,Felony,CKay,Boyfriend
10,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]"
11,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
12,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
13,Bounce,Rema,Bounce
14,Kilometre,Burna Boy,Kilometre
15,Pronto,"Ajebo Hustlers, Omah lay",Pronto
16,History,"Cheque, Fireboy Dml",History
17,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
18,Running (To You),"Chike, Simi",Running (To You)
19,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
20,Loved By You,"Justin Bieber, Burna Boy",Justice
21,FOR YOU,"Teni, DaVido",FOR YOU
22,It Is What It Is,Adekunle Gold,It Is What It Is
23,Show Me,Joeboy,Somewhere Between Beauty & Magic
24,Peaches,"Justin Bieber, Daniel Caesar, Giveon",Justice
25,Focus,Joeboy,Somewhere Between Beauty & Magic
26,Infinity,"Olamide, Omah lay",Carpe Diem
27,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
28,a m a r i,J. Cole,The Off-Season
29,Kilofeshe,Zinoleesky,Chrome
30,Runaway,AURORA,All My Demons Greeting Me As A Friend (Deluxe)
31,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name)
32,Godly,Omah lay,What Have We Done
33,Rush,"Dangbana Rebublik, Bella Shmurda",Rush
34,KOLO (feat. Oxlade),"Ice Prince, Oxlade",KOLO (feat. Oxlade)
35,LET IT GO (feat. Justin Bieber & 21 Savage),"DJ Khaled, 21 Savage, Justin Bieber",KHALED KHALED
