Position,song,artist,album
1,Bounce,Ruger,PANDEMIC
2,Feeling,"LADIPOE, Buju",Feeling
3,Soundgasm,Rema,Soundgasm
4,Forever (Remix),"Gyakie, Omah lay",Forever (Remix)
5,Infinity,"Olamide, Omah lay",Carpe Diem
6,Maserati (Remix),"Olakira, DaVido",Maserati (Remix)
7,Bad Influence,Omah lay,Bad Influence
8,FOR YOU,"Teni, DaVido",FOR YOU
9,Kamata,Diamond Platnumz,Kamata
10,It Is What It Is,Adekunle Gold,It Is What It Is
11,Damages,Tems,Damages
12,Big Thug Boys,AV,Big Thug Boys
13,Outside,Buju,Outside
14,Coachella,"Sarkodie, Kwesi Arthur",Coachella
15,Essence (feat. Tems),"Wizkid, Tems",Made In Lagos
16,Slow Down,King Promise,Slow Down
17,Understand,Omah lay,Understand
18,Running (To You),"Chike, Simi",Running (To You)
19,Banyana,"DJ Maphorisa, Tyler ICU, Sir Trill, Daliwonga, Kabza De Small",Banyana
20,Baby I'm Jealous,"Mr Eazi, emPawa Africa, King Promise",One Day You Will Understand
21,Mood,Mr Drew,Mood
22,Vibration,Fireboy Dml,"Laughter, Tears & Goosebumps"
23,LV N ATTN feat. Wizkid,"Lojay, Sarz, Wizkid",LV N ATTN
24,Godly,Omah lay,What Have We Done
25,Rock,Olamide,Rock
26,Kilometre,Burna Boy,Kilometre
27,Activate,"Stonebwoy, DaVido",Activate
28,Coming,"Naira Marley, Busiswa",Coming
29,AG Baby,"Adekunle Gold, Nailah Blackman",AG Baby
30,Ke Star (Remix),"Focalistic, DaVido, Virgo Deep",Ke Star (Remix)
31,History,"Cheque, Fireboy Dml",History
32,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",Bling (feat. Amaarae & Buju)
33,Felony,CKay,Boyfriend
34,Summeryomuthi,Blaq Diamond,Summeryomuthi
35,23,Burna Boy,Twice As Tall
36,Somebody Baby,"Peruzzi, DaVido",Somebody Baby
37,Hallelu,"Masterkraft, Bella Shmurda, Zlatan",Hallelu
38,Woman,Rema,Rema Compilation
39,Joro,Wizkid,Joro
40,Away,Ayra Starr,Ayra Starr
41,The Best (feat. Mayorkun),"DaVido, Mayorkun",A Better Time
42,MAD,"Sarz, WurlD",MAD
43,Ginger (feat. Burna Boy),"Wizkid, Burna Boy",Made In Lagos
44,Baajo,"Kwesi Arthur, Joeboy",Baajo
45,KPK (Ko Por Ke),"Rexxie, MohBad",KPK (Ko Por Ke)
46,Nobody,"DJ Neptune, Joeboy, Mr Eazi",Nobody
47,Pronto,"Ajebo Hustlers, Omah lay",Pronto
48,Kilofeshe,Zinoleesky,Chrome
49,Again,Wande Coal,Again
50,Champion,"Fireboy Dml, D Smoke",APOLLO
