rank,song,artist
1,Rock,Olamide
2,Feeling,"LADIPOE, Buju"
3,Kilometre,Burna Boy
4,History (feat. Fireboy DML),"Cheque, Fireboy DML"
5,Coming,"Naira Marley, Busiswa"
6,Forever (Remix),"Gyakie, Omah Lay"
7,Running (To You),"Chike, Simi"
8,La La (feat. CKay),Davido
9,Focus,Joeboy
10,Show Me,Joeboy
11,It Is What It Is,Adekunle Gold
12,Bling (feat. Amaarae & Buju),Blaqbonez
13,FOR YOU (feat. Davido),Teni
14,m y . l i f e (feat. 21 Savage & Morray),"J. Cole, 21 Savage, Morray"
15,Somebody Baby,"Davido, Peruzzi"
16,Godly,Omah Lay
17,a m a r i,J. Cole
18,9 5 . s o u t h,J. Cole
19,Essence (feat. Tems),Wizkid
20,Felony,CKay
21,Dimension (feat. Skepta & Rema),JAE5
22,Seeing Green,"Nicki Minaj, Drake, Lil Wayne"
23,Pronto,"Ajebo Hustlers, Omah Lay"
24,World,"Dangbana Republik, Bella Shmurda"
25,p r i d e . i s . t h e . d e v i l,"J. Cole, Lil Baby"
26,Loved By You (feat. Burna Boy),Justin Bieber
27,Too Correct ,"Crayon, Rema"
28,High Way ,"DJ Kaywise, Phyno"
29,The Best (feat. Mayorkun),Davido
30,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber
31,Cash App,"Bella Shmurda, Zlatan, Lincoln"
32,Door,"Joeboy, Kwesi Arthur"
33,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft
34,Koleyewon,Naira Marley
35,Jowo,Davido
36,Bad Influence,Omah Lay
37,Cho Cho,Zlatan
38,Bounce,Ruger
39,"Body (Remix) (feat. ZT (3x3), Fivio Foreign, Buni & ArrDee)","Tion Wayne, Russ Millions"
40,INJURE ME,Teni
41,23,Burna Boy
42,Way Too Big,Burna Boy
43,Bounse,Rema
44,Infinity (feat. Omah Lay),Olamide
45,i n t e r l u d e,J. Cole
46,Loco (feat. Mayorkun),KDDO
47,Ke Star (Remix),"Focalistic, Davido"
48,Rush,"Dangbana Republik, Bella Shmurda"
49,Fendi (feat. Joeboy),Blaqbonez
50,Verified,Laycon
51,Southy Love (feat. Fireboy DML),Peruzzi
52,Ginger (feat. Burna Boy),Wizkid
53,Sere,"Spinall, Fireboy DML, 6LACK"
54,Bank On It,Burna Boy
55,a p p l y i n g . p r e s s u r e,J. Cole
56,Loading (feat. Bad Boy Timz),Olamide
57,KPK (Ko Por Ke),"Rexxie, MohBad"
58,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez
59,l e t . g o . m y . h a n d,"J. Cole, Bas, 6LACK"
60,Real Life (feat. Stormzy),Burna Boy
61,Straightenin,Migos
62,KOLO (feat. Oxlade),Ice Prince
63,Kilofese,Zinoleesky
64,Early Momo (feat. Good Girl LA),Vector
65,1 0 0 . m i l ,"J. Cole, Bas"
66,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled
67,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic"
68,Away,Ayra Starr
69,Ruger,Ruger
70,Onyeka (Baby),Burna Boy
71,Jehovah Overdo,Chidinma
72,Enjoy,Tekno
73,Abule,Patoranking
74,Blessed (feat. Damian Marley),Wizkid
75,If You No Love (feat. Mayorkun),Chike
76,Commitment Issues,Central Cee
77,t h e . c l i m b . b a c k,J. Cole
78,Outside,Buju
79,Squander,"Falz, Niniola"
80,Don Dada,Timaya
81,Okwaraji,Blaqbonez
82,The End,Erigga
83,h u n g e r . o n . h i l l s i d e (with Bas),"J. Cole, Bas"
84,Love Like This,Lil Kesh ft Fireboy Dml
85,Reckless,Wizkid
86,Runaway,AURORA
87,c l o s e,J. Cole
88,Abu Dhabi,Ruger
89,Heartbreak Anniversary,GIV\xc4\x92ON
90,No Stress,Wizkid
91,Longtime (feat. Skepta),Wizkid
92,Ball Till We Fall,Kida Kudz & Bella Shmurda
93,RAPSTAR,Polo G
94,Beamer Body,"KDDO, Davido"
95,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money, Don Toliver, Lil Uzi Vert"
96,Sweet One,Wizkid
97,Holy Ground (feat. Nicki Minaj),Davido
98,True Love (feat. Tay Iwar & Projexx),Wizkid
99,Mighty Wine,Wizkid
100,Calling My Phone,"Lil Tjay, 6LACK"
